user_id,avg_time_to_complete,total_completed_modules,active_days,repeat_ratio,avg_submission_rating,avg_exam_score,exam_pass_rate,learner_type,learner_label
3390,0.22664884135472366,11614,230,0.8172953554015909,1.6204946996466432,79.91532258064517,0.7889784946236559,Consistent Learner,0
5774,1.583095238095238,2061,94,0.17261055634807418,1.723021582733813,70.22539682539683,0.6095238095238096,Consistent Learner,0
11836,1.392632850241546,2868,104,0.5946130242072963,1.681967213114754,85.5859649122807,0.9157894736842105,Consistent Learner,0
17833,0.5132183908045977,7484,198,0.8249966830303834,3.0233782319244464,83.82201834862386,0.8568807339449541,Consistent Learner,0
32258,2.3320806100217863,8028,235,0.8056139483121059,2.53815987933635,84.2579250720461,0.8414985590778098,Consistent Learner,0
96989,0.30073987538940805,5548,101,0.808155200287408,2.342857142857143,69.04318936877077,0.5581395348837209,Consistent Learner,0
102556,1.2254826254826254,15389,263,0.8958521772838868,2.372134670487106,83.81745283018869,0.8150943396226416,Consistent Learner,0
110119,0.9122807017543859,1083,154,0.24299909665763325,2.839541547277937,80.79775280898876,0.8089887640449438,Consistent Learner,0
113842,1.4385416666666666,4479,138,0.8944085542437068,2.3653384541526643,67.20960698689956,0.5938864628820961,Consistent Learner,0
153116,1.7348560354374305,4552,98,0.7217504898758981,1.4393719104390812,71.8125,0.6619318181818182,Consistent Learner,0
433737,0.06878830740216879,10756,160,0.6779067624838769,0.8827889102388141,63.884853852967225,0.525243578387954,Consistent Learner,0
494342,0.5602972399150742,7910,218,0.8364069752854096,1.6822497123130034,70.5646836638338,0.6496694995278565,Consistent Learner,0
496740,0.8719993141289437,10990,178,0.8384057971014492,2.785447562146591,82.81170212765957,0.7851063829787234,Consistent Learner,0
518124,0.20406746031746026,3198,154,0.7475369458128078,2.5269627279936557,91.15454545454546,0.9757575757575757,Consistent Learner,0
531259,0.23872852233676975,35320,238,0.938750576928298,0.6861270532357016,63.59143123253648,0.5296491772741385,Fast Learner,1
791882,0.05196733481811432,7257,127,0.7144423129624554,2.9082260772243984,86.72868217054264,0.8662790697674418,Consistent Learner,0
886996,0.15230716253443527,4079,76,0.6381738708110734,4.246051246051246,77.86478873239436,0.7661971830985915,Consistent Learner,0
938276,0.06428571428571424,2940,88,0.9468405215646941,1.5528657885368458,83.97,0.87,Consistent Learner,0
1202367,0.4053921568627451,40861,149,0.9350524622439914,0.3682944493300916,58.06653439153439,0.460978835978836,Fast Learner,1
1319457,2.2886533665835413,5392,156,0.5100055076188728,3.672398717575051,93.80540540540541,0.9594594594594594,Consistent Learner,0
1776122,0.12488087134104829,8104,126,0.8276624493305491,0.9832190281628483,84.36842105263158,0.8536184210526315,Consistent Learner,0
2131303,0.2007186081694402,10715,175,0.6923574531004528,2.776590330788804,79.62637362637362,0.7835164835164835,Consistent Learner,0
2135328,0.6867959372114497,7053,236,0.6622097114707952,3.2009925558312653,88.69176882661996,0.8861646234676007,Consistent Learner,0
2395575,1.071115879828326,7657,203,0.729926060448826,2.269595606590115,88.98786828422877,0.9081455805892548,Consistent Learner,0
3557828,1.0150421179302047,10172,231,0.8460031347962382,1.6397777777777778,81.6326754385965,0.8497807017543859,Consistent Learner,0
5021477,0.0,210,4,0.19811320754716982,0.0,85.04761904761905,0.8571428571428571,Consistent Learner,0
5044844,0.0,1329,31,0.503370786516854,3.7489539748953975,90.86614173228347,0.9606299212598425,Consistent Learner,0
5051374,0.0,200,16,0.32673267326732675,0.0,68.27272727272727,0.6363636363636364,Consistent Learner,0
5181638,0.0,13,1,0.0,0.0,0.0,0.0,Reflective Learner,2
5410562,0.0,41,1,0.19047619047619047,0.0,93.75,1.0,Consistent Learner,0
5410865,0.0,10,1,0.0,0.0,0.0,0.0,Reflective Learner,2
