developer_id,study_duration_total
496740,2883.0
102556,1956.0
32258,1924.0
433737,1447.0
518124,1442.0
2131303,1244.0
494342,1010.0
2135328,973.0
5774,962.0
3390,961.0
3557828,586.0
2395575,563.0
17833,486.0
531259,483.0
938276,482.0
1319457,481.0
791882,480.0
1776122,6.0
96989,4.0
886996,2.0
1202367,1.0
11836,1.0
153116,0.0
113842,0.0
110119,0.0
5021477,0.0
5044844,0.0
5051374,0.0
5181638,0.0
5410562,0.0
5410865,0.0
